ID;ID_THREAT;FLOW;SOURCE;TARGET;ATTRIBUTE TARGET;ATTRIBUTE SOURCE
1;TH11;;; SE.AA.TMCore.ActiveDirectory,SE.AA.TMCore.AzureAD;;
2;TH12;;GE.AA,GE.AS,GE.DS,GE.P,GE.EI; SE.AA.TMCore.ActiveDirectory,SE.AA.TMCore.AzureAD;;
3;TH129;;; SE.ID.TMCore.IoTCloudGateway;;
4;TH1;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL,SE.DS.TMCore.NoSQL;Azure;
5;TH13;;SE.EI.TMCore.Browser; SE.AS.TMCore.WebAPI;Blob;
6;TH10;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL,SE.DS.TMCore.NoSQL;;
7;TH21;;; SE.DS.TMCore.CloudStorage,SE.DS.TMCore.NoSQL;;
8;TH100;;; SE.P.TMCore.WebApp;;target.ProcessesXML is 'Yes'
9;TH133;;; SE.P.TMCore.IdentityServer;;
10;TH101;;; SE.P.TMCore.WebApp;;
11;TH22;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp,SE.P.TMCore.WCF,SE.AS.TMCore.WebAPI,SE.AA.TMCore.APIApp;;
12;TH102;;; SE.P.TMCore.WebApp;;
13;TH23;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp,SE.P.TMCore.WCF,SE.AS.TMCore.WebAPI,SE.AA.TMCore.APIApp;;
14;TH103;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp;;
15;TH32;;; SE.P.TMCore.WebApp,SE.P.TMCore.WCF,SE.AS.TMCore.WebAPI,SE.AA.TMCore.APIApp;;
16;TH104;;SE.EI.TMCore.MobileClient;;;
17;TH35;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway; SE.ID.TMCore.IoTFieldGateway,SE.ID.TMCore.IoTCloudGateway;;
18;TH105;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL;;
19;TH36;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway; SE.ID.TMCore.IoTFieldGateway,SE.ID.TMCore.IoTCloudGateway;;
20;TH106;;; SE.AS.TMCore.WebAPI;;
21;TH40;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway; SE.ID.TMCore.IoTCloudGateway;;
22;TH107;;SE.EI.TMCore.Browser; SE.AS.TMCore.WebAPI;;
23;TH44;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway; SE.ID.TMCore.IoTCloudGateway;;
24;TH108;;; SE.P.TMCore.WebApp,SE.P.TMCore.WCF,SE.AS.TMCore.WebAPI,SE.AA.TMCore.APIApp;;
25;TH50;;SE.ID.TMCore.IoTDevice; SE.ID.TMCore.IoTFieldGateway;;
26;TH109;;; SE.P.TMCore.WebApp,SE.P.TMCore.WCF,SE.AS.TMCore.WebAPI,SE.AA.TMCore.APIApp;;
